"target_id","exp_cnt","click_cnt","image_text_price",
"3b6ac7bf-5e91-4c33-a286-e9da03b5c398000","26","","30.0000",
"3bd1d8b7-bc75-4d46-ab1f-1dcd759911bb000","290","19","50.0000",
"3c97840e-b6c2-430c-b880-946dab67ce82000","59","","20.0000",
"3cbc3704-36a7-40b0-b1c9-322d38e89a01000","95","3","30.0000",
"3cffcb9e-f472-4988-887a-240e9a82fd89000","194","11","50.0000",
"3d1dfc9c-00ef-4019-b9fc-7373ba2b8d5f000","17","","20.0000",
"3dbaee5a-0bdb-4ee6-8198-9112516f84f8000","50","2","30.0000",
"3de93c6d-737a-4116-a2e5-f062e4efc9e5000","59","2","10.0000",
"3e677dfe-d12f-44dc-b3b6-6b4624431fc0000","48","2","30.0000",
"3f34d91a-3a41-48b3-8ffd-7b0f0b619714000","34","1","",
"40000723-601a-4719-a93b-8a75b6577c21000","131","5","20.0000",
"4024d48d-8664-4f16-9199-665a00d0bfaa000","36","2","30.0000",
"408a7b0f-3156-4dde-850d-d392316b9b8a000","27","1","20.0000",
"40fb87af-fcd9-4d47-834c-3d5d121cf456000","21","","10.0000",
"41c52cb6-be6f-455e-99c1-767eaac5f18f000","28","2","",
"42ac5342-ca09-4d67-a3cd-fc8761f02a24000","73","6","100.0000",
"42e1e5db-c2b2-40c4-9ab3-c8dcd21a58ec000","28","1","30.0000",
"4342c19b-6822-4f1a-8c20-ae860853e98a000","24","","5.0000",
"43457716-41e6-4f3f-b15b-e8a864825f9c000","15","","",
"4351e4d0-aa04-4d63-b531-a94d4791c0cf000","44","6","60.0000",
"44fddc7c-021e-4475-8783-8da598063f56000","35","7","200.0000",
"4565ed50-9603-43e4-8403-d1c68ee2edb2000","15","","10.0000",
"4567a091-0f3b-4abc-82f9-9ede94d3b385000","1242","28","60.0000",
"4583ada8-6c95-4edc-91c1-32c1a9744a8e000","21","","15.0000",
"45914420-fb58-4d3d-859f-a40e1154f7bd000","30","","",
"45d2d5c7-c07f-48d1-a57f-ddd0471eed1e000","16","1","30.0000",
"45e646f3-e07d-4ff0-bb12-aa52ad5c13c9000","17","","30.0000",
"45f9ef89-ef96-41b0-9aac-d877a152a979000","21","2","25.0000",
"46a40852-9f05-46d9-9c9c-54b6209e7c79000","28","","25.0000",
"46d219d7-b770-4d4f-a451-89ba5583406c000","1474","182","68.0000",
"47bef194-7023-4626-b836-21cef12f3d88000","17","1","",
"480d0d07-a05d-422a-98eb-382fb4557937000","117","12","30.0000",
"48228178-7d21-46cd-9341-60cb9c92423a000","11","","39.0000",
"49e04724-2f02-41fe-bb72-ff6c557414d2000","66","","15.0000",
"49f76b49-ad8a-479b-9359-f34c8b2e9209000","13","","50.0000",
"4b809c52-123e-4d6a-a94e-f6985e49f37f000","54","","25.0000",
"4bb162b3-46ab-43a3-a665-354db4f8a9f6000","49","5","25.0000",
"4c5a11b5-8a32-4ae3-9366-754b450579f1000","50","2","30.0000",
"4cbc0c69-0d5a-4385-a667-089a7d700432000","24","","",
"4d94ceab-eed9-4363-9113-0a7990e9ea8a000","167","12","20.0000",
"4e0d3844-4b16-4988-a116-bcce9a098543000","334","17","20.0000",
"4e384eb0-c330-4320-9da0-e9e738c7978a000","226","10","80.0000",
"4f02b72f-201e-4ccf-8d29-931b068553ef000","135","7","30.0000",
"4f4fbb01-baa3-42af-a38c-03f9b1ec8b52000","35","","",
"4f508cbf-8c91-4489-be5d-4de3c5b41f9f000","128","4","50.0000",
"4f8fe24f-55b6-48c2-857f-9e9015ffeb83000","27","","25.0000",
"4fbdf8e8-bae0-4dfc-bfc5-da60157786cc000","33","1","20.0000",
"509b3814-0a97-4b03-9bb6-aad9f6e869c9000","57","4","30.0000",
"50a523f9-3142-4952-9ec4-9429f1d61645000","266","21","50.0000",
"50d84e2d-bfab-47e0-a2dd-3b8cc4e06831000","38","","39.0000",
"519437eb-8717-495e-8f61-bc6c387fc893000","13","","30.0000",
"51fa14c0-f1a1-4731-85f8-be892ccb469b000","26","2","",
"52ca2be9-808d-459c-9df9-9fa01c3ff945000","27","2","20.0000",
"531e2b28-c011-494c-ad4c-f8cb443524a7000","17","1","20.0000",
"5320a055-bedd-4eb6-94c6-37361e6fea76000","1684","75","150.0000",
"53292359-49b8-4305-94fb-4dfe2b247f8a000","57","","30.0000",
"54191bc4-8628-4416-beda-4c82d0a96807000","22","","",
"55975211-3aa0-4d51-a75b-2babb32154b9000","15","1","30.0000",
"57760c37-9bac-4813-8867-01d0c07e2c81000","367","46","200.0000",
"578781a8-3ec6-4f31-b580-1f9a1ead0798000","15","","",
"57fdfc61-9522-475c-b355-be8f85831327000","247","11","30.0000",
"5829fa6b-d352-400f-ad25-26bf2c5f1a92000","14","1","",
"583703e3-aa68-4849-89fc-a96c5a122fc1000","73","3","20.0000",
"586383a3-98b0-45a2-a9b9-2d00bc065702000","193","7","29.0000",
"586be30b-4dfe-422c-aa7a-342412ddad23000","41","2","50.0000",
"589b7363-54e6-4780-a0d8-ffbd7fb508f4000","15","4","30.0000",
"595fc328-68e5-4f1a-b47d-6f6d113bb107000","11185","471","199.0000",
"598601fd-9f4e-4701-8fde-1488530901fa000","48","3","50.0000",
"59a05932-6afa-41e2-9c75-f5adec292d89000","4137","781","300.0000",
"59f87937-1b0f-4a78-a5cd-d464f1f23b28000","530","26","100.0000",
"5be42563-c654-4f02-9679-e07bb38f2da9000","15","","20.0000",
"5c5a7e0a-1f9f-4d28-90d0-22a54f2a7167000","213","18","50.0000",
"5d1d9991-451f-409b-8a37-7ac78767e373000","93","1","60.0000",
"5d86facd-4715-4286-9545-9de42bfc9cde000","59","","60.0000",
